alnpos	freqnongap	info(bits)	ref_nt	info_rolling	freqnongap_rolling
71	1.0	1.30015716	71	1.4877689866666668	0.9968253966666667
72	1.0	1.43349049	72	1.5308921895238095	0.9968253966666667
73	1.0	0.62904941	73	1.51474563	0.9968253966666667
74	1.0	1.64664066	74	1.471017257142857	0.9968253966666667
75	1.0	2.0	75	1.471017257142857	0.9968253966666667
76	1.0	1.43349049	76	1.471017257142857	0.9968253966666667
77	1.0	1.16335926	77	1.4878438923809525	0.9968253966666667
78	1.0	1.30015716	78	1.5043431066666666	0.9968253966666667
79	1.0	1.43349049	79	1.5224318414285716	1.0
80	1.0	1.08170417	80	1.4793086385714287	1.0
81	1.0	2.0	81	1.448719680952381	0.9936507938095237
82	1.0	2.0	82	1.4652188952380951	0.9936507938095237
83	1.0	1.09441274	83	1.4753689033333335	0.9936507938095237
84	1.0	1.08170417	84	1.5406522647619048	0.9936507938095237
85	1.0	2.0	85	1.5406522647619048	0.9936507938095237
86	1.0	1.64664066	86	1.5406522647619048	0.9936507938095237
87	1.0	2.0	87	1.5508022728571431	0.9936507938095237
88	1.0	1.64664066	88	1.590642308095238	0.9936507938095237
89	1.0	1.43349049	89	1.6239681576190477	0.9936507938095237
90	1.0	1.09441274	90	1.6341181657142858	0.9936507938095237
91	0.86666667	1.00427255	91	1.6778465385714285	0.9936507938095237
92	1.0	1.64664066	92	1.6610199033333335	0.9936507938095237
93	1.0	1.64664066	93	1.6610199033333335	0.9936507938095237
94	1.0	2.0	94	1.7041431061904764	0.9936507938095237
95	1.0	1.64664066	95	1.7292408333333336	0.9873015876190475
96	1.0	2.0	96	1.7292408333333336	0.9873015876190475
97	1.0	1.64664066	97	1.7460674685714286	0.958730159047619
98	1.0	2.0	98	1.7165730785714284	0.9523809528571427
99	1.0	2.0	99	1.7147690680952383	0.9460317466666666
100	1.0	1.64664066	100	1.7417457114285715	0.9460317466666666
101	1.0	2.0	101	1.7515430647619048	0.9460317466666666
102	1.0	1.64664066	102	1.7656328080952381	0.9523809528571429
103	1.0	2.0	103	1.7480819152380949	0.9523809528571429
104	1.0	2.0	104	1.7379319071428572	0.9523809528571429
105	0.86666667	1.60875644	105	1.7046060576190476	0.9523809528571429
106	1.0	2.0	106	1.6944560495238097	0.9523809528571429
107	0.4	2.0	107	1.6493906714285713	0.9492063495238096
108	0.86666667	1.38061781	108	1.6328914571428572	0.9492063495238096
109	0.86666667	1.60875644	109	1.605914813809524	0.9492063495238096
110	1.0	2.0	110	1.5467745266666668	0.9492063495238096
111	1.0	1.30015716	111	1.5237611266666666	0.9492063495238096
112	1.0	1.30015716	112	1.5069344914285714	0.9492063495238096
113	1.0	1.27807191	113	1.4967844833333335	0.9492063495238096
114	1.0	1.43349049	114	1.479957848095238	0.9492063495238096
115	1.0	1.30015716	115	1.479957848095238	0.9492063495238096
116	1.0	1.43349049	116	1.4985884938095237	0.9523809523809523
117	0.93333333	1.05362706	117	1.4985884938095237	0.911111110952381
118	1.0	1.30015716	118	1.454860120952381	0.9015873014285715
119	1.0	1.43349049	119	1.4118817447619048	0.8761904757142858
120	1.0	0.75805397	120	1.3718952685714285	0.882539681904762
121	1.0	1.16335926	121	1.2914437319047618	0.882539681904762
122	1.0	1.64664066	122	1.297792938095238	0.882539681904762
123	1.0	1.43349049	123	1.3311187876190478	0.882539681904762
124	1.0	1.64664066	124	1.3654963157142856	0.882539681904762
125	1.0	2.0	125	1.3538406676190475	0.8476190471428572
126	0.93333333	2.0	126	1.370339881904762	0.8476190471428572
127	0.13333333	2.0	127	1.3541933223809526	0.8476190471428572
128	0.2	1.08170417	128	1.3561354976190476	0.8507936504761905
129	0.33333333	0.47807191	129	1.372634711904762	0.8507936504761905
130	1.0	0.76904044	130	1.38278472	0.8507936504761905
131	1.0	0.31051773	131	1.383037352857143	0.8507936504761905
132	1.0	1.43349049	132	1.354807230952381	0.8507936504761905
133	1.0	2.0	133	1.3383080166666668	0.8507936504761905
134	1.0	2.0	134	1.36528466	0.8444444442857143
135	0.26666667	1.18872188	135	1.3821112952380952	0.8380952380952381
136	1.0	1.64664066	136	1.3177289095238094	0.8317460319047618
137	1.0	1.09441274	137	1.2701098619047617	0.7936507938095239
138	1.0	1.09441274	138	1.2086007190476191	0.831746031904762
139	1.0	1.64664066	139	1.2173514766666667	0.8666666666666666
140	1.0	1.64664066	140	1.2564983933333334	0.8984126985714286
141	1.0	0.76335926	141	1.2649735352380955	0.8984126985714286
142	1.0	0.5705267	142	1.311047543809524	0.8984126985714286
143	1.0	1.30015716	143	1.311047543809524	0.8984126985714286
144	0.86666667	2.0	144	1.267924340952381	0.8984126985714286
145	0.86666667	2.0	145	1.267924340952381	0.8571428571428571
146	0.86666667	0.6479699	146	1.2455722452380953	0.8825396823809525
147	0.13333333	1.0	147	1.2128344957142856	0.873015872857143
148	0.93333333	0.708308	148	1.1963563095238097	0.8634920633333333
149	0.93333333	1.26547008	149	1.1957511395238096	0.8539682538095238
150	1.0	1.30015716	150	1.1816243261904762	0.8444444442857143
151	1.0	0.94701842	151	1.1342324899999998	0.8317460314285715
152	1.0	1.27807191	152	1.1480887014285717	0.8190476185714287
153	1.0	1.43349049	153	1.1544701995238096	0.8031746028571428
154	1.0	1.09441274	154	1.166867620952381	0.79047619
155	0.13333333	2.0	155	1.095862151904762	0.7841269833333333
156	0.8	0.71932787	156	1.0496264095238097	0.7904761895238095
157	0.8	0.95914792	157	1.0971821600000002	0.7968253957142857
158	0.8	0.74837083	158	1.0587898300000003	0.8380952371428572
159	0.8	1.08170417	159	1.0708265633333334	0.8412698404761905
160	0.8	1.34997758	160	1.0626809757142857	0.8444444438095238
161	0.73333333	0.6514121	161	1.06102921	0.8412698404761905
162	0.73333333	1.0543397	162	1.1111711899999999	0.8380952371428572
163	0.66666667	0.70453816	163	1.0986330923809524	0.8349206338095237
164	0.73333333	1.56050301	164	1.1256097357142858	0.8317460304761904
165	0.73333333	0.50888515	165	1.0937606800000002	0.8285714271428571
166	1.0	1.02904941	166	1.0580656676190476	0.8666666652380952
167	1.0	1.64664066	167	1.1190500547619049	0.8730158714285714
168	1.0	0.19376107	168	1.1235490614285715	0.8793650776190476
169	1.0	0.9610794	169	1.1663238152380953	0.8888888871428571
170	1.0	1.09441274	170	1.1445626942857143	0.8984126966666666
171	0.93333333	1.26547008	171	1.1485394995238094	0.9079365061904762
172	0.93333333	2.0	172	1.154140849047619	0.9206349190476191
173	0.93333333	1.01477186	173	1.1823456566666668	0.9333333319047619
174	0.93333333	2.0	174	1.2440343157142857	0.9079365061904762
175	0.93333333	0.42558257	175	1.2305852157142858	0.9206349190476191
176	0.93333333	1.25040474	176	1.3015906847619048	0.933333331904762
177	0.93333333	2.0	177	1.3309997919047618	0.933333331904762
178	0.93333333	1.05362706	178	1.277750129047619	0.933333331904762
179	1.0	1.64664066	179	1.3200331338095237	0.933333331904762
180	1.0	0.62472063	180	1.352678908095238	0.933333331904762
181	1.0	1.43349049	181	1.3559620757142856	0.933333331904762
182	1.0	0.76904044	182	1.332322569047619	0.9365079352380954
183	1.0	1.64664066	183	1.332322569047619	0.9396825385714287
184	0.13333333	2.0	184	1.3355098219047619	0.942857141904762
185	1.0	1.27807191	185	1.2610904585714284	0.9460317452380954
186	1.0	2.0	186	1.301685189047619	0.9492063485714287
187	1.0	1.64664066	187	1.2897611538095237	0.9111111104761905
188	1.0	0.52839774	188	1.2897611538095237	0.8730158723809525
189	1.0	1.08170417	189	1.3179998966666666	0.8761904757142858
190	1.0	1.64664066	190	1.3078498885714285	0.8761904757142858
191	1.0	1.16335926	191	1.31272483	0.8761904757142858
192	1.0	0.76904044	192	1.2744181119047622	0.8761904757142858
193	1.0	2.0	193	1.3060585904761903	0.8761904757142858
194	1.0	1.08170417	194	1.2830451904761904	0.8761904757142858
195	1.0	0.43719337	195	1.2239049033333333	0.917460317142857
196	1.0	1.27807191	196	1.2030948823809524	0.917460317142857
197	0.13333333	1.0	197	1.176118239047619	0.917460317142857
198	0.13333333	2.0	198	1.1929448742857143	0.917460317142857
199	1.0	1.64664066	199	1.2630211723809526	0.917460317142857
200	1.0	1.43349049	200	1.2454784657142857	0.917460317142857
201	1.0	0.7270944	201	1.2353284576190477	0.917460317142857
202	1.0	0.62904941	202	1.275168492857143	0.8825396823809523
203	1.0	1.43349049	203	1.3169589795238095	0.8825396823809523
204	1.0	1.16335926	204	1.3169589795238095	0.8825396823809523
205	1.0	0.75805397	205	1.327361502857143	0.8825396823809523
206	1.0	0.84106147	206	1.4017808661904763	0.8825396823809523
207	1.0	1.43349049	207	1.419331759047619	0.8825396823809523
208	1.0	2.0	208	1.419331759047619	0.8825396823809523
209	1.0	2.0	209	1.419331759047619	0.9238095238095237
210	1.0	0.71330733	210	1.409181750952381	0.9238095238095237
211	1.0	1.43349049	211	1.419331759047619	0.9238095238095237
212	0.26666667	2.0	212	1.4631196761904761	0.9238095238095237
213	1.0	1.64664066	213	1.5284030376190476	0.9238095238095237
214	1.0	2.0	214	1.5385530457142857	0.9238095238095237
215	1.0	1.30015716	215	1.561566445714286	0.9238095238095237
216	1.0	2.0	216	1.5937300895238096	0.9238095238095237
217	1.0	1.64664066	217	1.6320910033333336	0.9238095238095237
218	0.13333333	1.0	218	1.6590676466666667	0.9238095238095237
219	1.0	2.0	219	1.6422410114285715	0.9238095238095237
220	1.0	1.43349049	220	1.5967917733333332	0.9015873014285715
221	1.0	1.64664066	221	1.658062852857143	0.8825396823809525
222	1.0	1.64664066	222	1.6220785747619049	0.8698412695238095
223	1.0	2.0	223	1.5834462833333336	0.8952380947619047
224	1.0	1.64664066	224	1.5432197080952381	0.8920634914285714
225	1.0	1.64664066	225	1.491080930952381	0.8888888880952381
226	1.0	1.43349049	226	1.4774911547619047	0.8857142847619047
227	1.0	1.64664066	227	1.4606645195238095	0.8857142847619047
228	1.0	2.0	228	1.4168766023809525	0.8857142847619047
229	1.0	1.64664066	229	1.4301181219047618	0.9269841261904762
230	0.53333333	1.045566	230	1.3749305728571428	0.9269841261904762
231	0.6	2.0	231	1.3675296880952381	0.9269841261904762
232	0.73333333	0.67782065	232	1.35737968	0.9269841261904762
233	0.8	1.18872188	233	1.3001772790476191	0.9269841261904762
234	0.93333333	0.80188258	234	1.265799750952381	0.9269841261904762
235	0.93333333	0.90508568	235	1.2657997509523808	0.9269841261904762
236	0.93333333	1.01477186	236	1.265799750952381	0.9269841261904762
237	1.0	1.64664066	237	1.2583988661904761	0.9269841261904762
238	1.0	0.7270944	238	1.2482488580952382	0.9269841261904762
239	1.0	1.27807191	239	1.2482488580952382	0.9269841261904762
240	1.0	0.84106147	240	1.231749643809524	0.9269841261904762
241	1.0	1.27807191	241	1.2438730323809524	0.9492063485714285
242	1.0	1.43349049	242	1.2105471828571428	0.9682539676190475
243	1.0	0.44539024	243	1.233668069047619	0.9809523804761905
244	1.0	1.27807191	244	1.231199380952381	0.9873015866666667
245	1.0	1.64664066	245	1.2882525914285714	0.99047619
246	1.0	1.64664066	246	1.3403913685714286	0.9936507933333333
247	1.0	1.27807191	247	1.3425314723809525	0.9936507933333333
248	1.0	1.43349049	248	1.3593581076190477	0.9936507933333333
249	1.0	2.0	249	1.3929960166666666	0.9936507933333333
250	1.0	1.30015716	250	1.3875335095238097	0.9936507933333333
251	1.0	1.30015716	251	1.4427210585714287	0.9936507933333333
252	1.0	1.30015716	252	1.4602719514285714	0.9936507933333333
253	1.0	1.16335926	253	1.4704219595238095	0.9936507933333333
254	0.93333333	1.13687943	254	1.5111251461904762	0.9936507933333333
255	1.0	2.0	255	1.5286760390476193	0.9936507933333333
256	1.0	2.0	256	1.5286760390476193	0.9936507933333333
257	0.93333333	1.05971404	257	1.5455026742857143	0.9936507933333333
258	1.0	2.0	258	1.5798802023809524	0.9936507933333333
259	1.0	1.43349049	259	1.5900302104761903	0.9936507933333333
260	1.0	1.16335926	260	1.5900302104761903	0.9936507933333333
261	1.0	2.0	261	1.5900302104761908	0.9936507933333333
262	1.0	1.64664066	262	1.62335606	0.9936507933333333
263	1.0	1.64664066	263	1.62335606	0.9936507933333333
264	1.0	1.30015716	264	1.6157298271428573	0.9936507933333333
265	1.0	1.64664066	265	1.6568308066666668	0.9968253966666667
266	1.0	1.64664066	266	1.599777596190476	0.9936507933333333
267	1.0	2.0	267	1.5716027019047618	0.99047619
268	1.0	2.0	268	1.616378223809524	0.9587301585714285
269	1.0	1.64664066	269	1.5854247752380952	0.93015873
270	1.0	2.0	270	1.5618643652380952	0.9079365076190475
271	1.0	1.30015716	271	1.5645925033333332	0.9015873014285715
272	1.0	2.0	272	1.5028907033333334	0.8952380952380953
273	1.0	1.30015716	273	1.4645297895238096	0.8952380952380953
274	1.0	1.00320837	274	1.4645297895238096	0.8952380952380953
275	1.0	2.0	275	1.4483832295238095	0.8952380952380953
276	0.93333333	0.80188258	276	1.4382332214285714	0.8952380952380953
277	0.93333333	1.40832722	277	1.4088241142857143	0.8952380952380953
278	0.26666667	2.0	278	1.347553034761905	0.8952380952380953
279	0.4	1.34997758	279	1.3131755066666666	0.8952380952380953
280	0.53333333	0.93872188	280	1.3030254985714285	0.8952380952380953
281	0.86666667	1.22065016	281	1.2861988633333332	0.8952380952380953
282	0.86666667	0.7042622	282	1.3195247128571428	0.8952380952380953
283	1.0	0.84106147	283	1.3026980776190478	0.8952380952380953
284	1.0	1.64664066	284	1.309047283809524	0.8952380952380953
285	1.0	0.9610794	285	1.3221360238095239	0.8952380952380953
286	1.0	1.43349049	286	1.3221360238095239	0.8952380952380953
287	1.0	1.02904941	287	1.352212590952381	0.8984126985714286
288	1.0	0.71330733	288	1.36356085	0.901587301904762
289	1.0	1.27807191	289	1.2764430738095238	0.9365079366666668
290	1.0	1.43349049	290	1.2392269852380953	0.9619047619047618
291	1.0	1.64664066	291	1.2346792933333333	0.9682539685714288
292	1.0	2.0	292	1.2549645552380955	0.9746031747619048
293	1.0	1.64664066	293	1.29983972	0.980952380952381
294	1.0	1.43349049	294	1.3382006338095238	0.980952380952381
295	1.0	1.27807191	295	1.3382006338095238	0.980952380952381
296	1.0	2.0	296	1.3708464080952383	0.980952380952381
297	1.0	1.43349049	297	1.3978230514285717	0.980952380952381
298	1.0	1.64664066	298	1.4272321585714285	0.980952380952381
299	1.0	0.1705267	299	1.488503238095238	0.980952380952381
300	0.93333333	0.56843972	300	1.5228807661904764	0.980952380952381
301	0.66666667	0.84322035	301	1.5023911414285716	0.980952380952381
302	1.0	1.64664066	302	1.4842401614285714	0.9777777776190475
303	1.0	1.64664066	303	1.4665624314285715	0.9746031742857143
304	1.0	1.64664066	304	1.4665624314285715	0.9746031742857143
305	1.0	1.64664066	305	1.460213225238095	0.9746031742857143
306	1.0	1.64664066	306	1.4777641180952383	0.9746031742857143
307	1.0	2.0	307	1.4609374828571429	0.9746031742857143
308	1.0	1.64664066	308	1.4447909233333334	0.9746031742857143
309	1.0	2.0	309	1.4282917090476193	0.9746031742857143
310	1.0	2.0	310	1.4453331871428572	0.9746031742857143
311	1.0	1.00320837	311	1.4633607442857144	0.9777777776190475
312	0.93333333	1.26547008	312	1.4444164533333335	0.9936507933333333
313	0.93333333	1.62876767	313	1.399972009047619	0.9936507933333333
314	1.0	1.64664066	314	1.3581815223809524	0.9936507933333333
315	1.0	1.30015716	315	1.2969022561904762	0.9936507933333333
316	1.0	1.64664066	316	1.3137288914285716	0.9936507933333333
317	1.0	1.64664066	317	1.2843197842857141	0.9936507933333333
318	1.0	1.09441274	318	1.2666420542857142	0.9904761900000002
319	1.0	1.30015716	319	1.2552937952380954	0.9873015866666667
320	1.0	0.52839774	320	1.228317151904762	0.9873015866666667
321	1.0	0.94701842	321	1.1949913023809524	0.9873015866666667
322	1.0	0.44539024	322	1.1838404485714287	0.9873015866666667
323	1.0	0.71330733	323	1.1918414204761905	0.9904761899999999
324	1.0	0.76904044	324	1.1632834080952381	0.9936507933333333
325	1.0	0.35977607	325	1.1632834080952381	0.9936507933333333
326	1.0	2.0	326	1.1622317295238096	0.9936507933333333
327	1.0	1.02904941	327	1.108399711904762	0.9904761900000002
328	0.93333333	1.62876767	328	1.0573403852380951	0.9904761900000002
329	0.93333333	1.40832722	329	1.0415759338095238	0.9904761900000002
330	1.0	1.43349049	330	1.0317785804761905	0.9904761900000002
331	1.0	1.30015716	331	1.1018548785714286	0.9904761900000002
332	1.0	0.76904044	332	1.1176193304761906	0.9904761900000002
333	1.0	1.43349049	333	1.158322517142857	0.9904761900000002
334	1.0	1.02904941	334	1.1926169533333333	0.9904761900000002
335	1.0	1.64664066	335	1.181157777142857	0.9904761900000002
336	1.0	1.27807191	336	1.1842914199999999	0.9873015866666667
337	0.93333333	0.51616829	337	1.1114048014285713	0.9841269833333335
338	1.0	0.5743948	338	1.0970259914285716	0.9841269833333335
339	1.0	0.76335926	339	1.0877270780952382	0.9873015866666667
340	1.0	1.09441274	340	1.0990753371428572	0.9904761900000002
341	1.0	2.0	341	1.1092253452380954	0.9904761900000002
342	1.0	1.27807191	342	1.1257245595238095	0.9904761900000002
343	1.0	1.30015716	343	1.1499641533333333	0.9904761900000002
344	1.0	1.43349049	344	1.1601141614285713	0.9904761900000002
345	1.0	0.52839774	345	1.1895232685714288	0.9904761900000002
346	0.93333333	0.42558257	346	1.2063499038095238	0.9904761900000002
347	0.93333333	0.46938101	347	1.2407274319047619	0.9904761900000002
348	1.0	0.7270944	348	1.3113860847619048	0.9936507933333333
349	1.0	1.43349049	349	1.3624454114285716	0.9936507933333333
350	1.0	1.64664066	350	1.3711910857142857	0.9936507933333333
351	1.0	1.64664066	351	1.4143142885714286	0.9936507933333333
352	1.0	1.64664066	352	1.3974876533333334	0.9936507933333333
353	1.0	1.27807191	353	1.3712506290476192	0.9936507933333333
354	1.0	1.64664066	354	1.3647364433333333	0.9936507933333333
355	1.0	1.64664066	355	1.3748864514285715	0.9936507933333333
356	1.0	2.0	356	1.4116369000000002	0.9936507933333333
357	1.0	2.0	357	1.4532833090476192	0.9968253966666668
358	1.0	2.0	358	1.526169927619048	1.0
359	1.0	1.64664066	359	1.569957844761905	1.0
360	1.0	0.94701842	360	1.596934488095238	1.0
361	1.0	2.0	361	1.6137611233333335	1.0
362	1.0	1.64664066	362	1.613761123333333	1.0
363	1.0	0.7270944	363	1.6305877585714286	1.0
364	1.0	1.16335926	364	1.6649652866666667	1.0
365	1.0	1.64664066	365	1.6649652866666667	1.0
366	1.0	1.30015716	366	1.6649652866666669	1.0
367	1.0	1.30015716	367	1.6649652866666669	1.0
368	1.0	2.0	368	1.6649652866666669	1.0
369	1.0	1.64664066	369	1.6649652866666669	1.0
370	1.0	2.0	370	1.6817919219047621	1.0
371	1.0	2.0	371	1.7151072666666667	1.0
372	1.0	1.64664066	372	1.6982806314285714	1.0
373	1.0	2.0	373	1.6982806314285712	1.0
374	1.0	2.0	374	1.7588951838095237	1.0
375	1.0	1.64664066	375	1.7819085838095237	1.0
376	1.0	1.64664066	376	1.781908583809524	1.0
377	1.0	2.0	377	1.8152344333333335	1.0
378	1.0	2.0	378	1.8317336476190476	1.0
379	1.0	2.0	379	1.8317336476190476	1.0
380	1.0	2.0	380	1.8317336476190476	1.0
381	1.0	1.64664066	381	1.8317336476190476	1.0
382	1.0	1.64664066	382	1.8317336476190476	1.0
383	1.0	1.64664066	383	1.848560282857143	1.0
384	1.0	2.0	384	1.848560282857143	1.0
385	1.0	1.64664066	385	1.7819135576190477	1.0
386	1.0	1.64664066	386	1.7237679342857144	0.9968253966666665
387	1.0	2.0	387	1.7237679342857144	0.9968253966666665
388	1.0	1.64664066	388	1.6967912909523808	0.9968253966666665
389	1.0	2.0	389	1.6799646557142858	0.9968253966666665
390	1.0	1.64664066	390	1.6208243685714285	0.9968253966666665
391	1.0	2.0	391	1.603997733333333	0.9968253966666665
392	1.0	2.0	392	1.6039977333333335	0.9968253966666665
393	1.0	2.0	393	1.5809843333333333	0.9968253966666665
394	1.0	2.0	394	1.5978109685714283	0.9968253966666665
395	1.0	0.60041877	395	1.5809843333333333	0.9968253966666665
396	0.93333333	0.42558257	396	1.5978109685714288	0.9968253966666665
397	1.0	1.64664066	397	1.6146376038095238	0.9968253966666665
398	1.0	1.43349049	398	1.6146376038095238	0.9968253966666665
399	1.0	1.64664066	399	1.6146376038095238	0.9968253966666665
400	1.0	0.75805397	400	1.5978109685714283	0.9968253966666665
401	1.0	1.64664066	401	1.5670185561904764	0.9555555552380952
402	1.0	1.64664066	402	1.5193995085714287	0.914285713809524
403	1.0	1.16335926	403	1.5193995085714287	0.8730158723809525
404	1.0	2.0	404	1.4456473685714286	0.8507936500000002
405	1.0	1.64664066	405	1.4456473685714286	0.85079365
406	1.0	2.0	406	1.4954674585714285	0.85079365
407	1.0	2.0	407	1.5371138676190477	0.8539682533333335
408	1.0	2.0	408	1.5371138676190477	0.8539682533333335
409	1.0	1.64664066	409	1.5307646614285715	0.8539682533333335
410	1.0	1.64664066	410	1.5475912966666665	0.8539682533333335
411	0.13333333	1.0	411	1.5541931357142857	0.8539682533333335
412	0.13333333	1.0	412	1.5541931357142857	0.8539682533333335
413	0.13333333	2.0	413	1.5541931357142857	0.8539682533333335
414	0.53333333	0.45120506	414	1.5590555557142858	0.8507936500000002
415	1.0	2.0	415	1.5413778257142858	0.8476190466666667
416	1.0	1.64664066	416	1.5144760880952381	0.8476190466666668
417	1.0	1.30015716	417	1.5144760880952381	0.8476190466666668
418	1.0	1.64664066	418	1.5144760880952381	0.8476190466666668
419	1.0	1.30015716	419	1.5144760880952381	0.8476190466666668
420	1.0	2.0	420	1.514476088095238	0.8476190466666668
421	1.0	0.89669259	421	1.5313027233333334	0.8476190466666668
422	1.0	1.64664066	422	1.5789217709523808	0.8888888880952381
423	1.0	1.64664066	423	1.6265408185714285	0.9301587295238095
424	0.93333333	1.26547008	424	1.6097141833333335	0.971428570952381
425	0.93333333	1.62876767	425	1.6834663233333333	0.9936507933333333
426	1.0	1.08170417	426	1.6834663233333333	0.9936507933333333
427	1.0	2.0	427	1.654057216190476	0.9936507933333333
428	1.0	2.0	428	1.6705564304761904	0.9936507933333333
429	1.0	2.0	429	1.6411473233333334	0.9936507933333333
430	1.0	1.64664066	430	1.6462982785714284	0.99047619
431	1.0	2.0	431	1.6294716433333334	0.99047619
432	1.0	2.0	432	1.6325376819047617	0.99047619
433	1.0	2.0	433	1.622387673809524	0.99047619
434	1.0	1.64664066	434	1.6223876738095238	0.99047619
435	1.0	2.0	435	1.657365289047619	0.9936507933333333
436	1.0	2.0	436	1.6480663757142857	0.9968253966666667
437	1.0	1.02904941	437	1.6749681133333334	0.9968253966666667
438	1.0	1.64664066	438	1.6273490657142857	0.9555555552380952
439	1.0	1.02904941	439	1.6105224304761907	0.9555555552380952
440	0.93333333	1.40832722	440	1.6105224304761907	0.9555555552380952
441	1.0	1.64664066	441	1.6273490657142857	0.9555555552380952
442	1.0	0.9610794	442	1.6105224304761903	0.9555555552380952
443	1.0	1.43349049	443	1.5499078780952382	0.9555555552380952
444	1.0	1.64664066	444	1.533081242857143	0.9555555552380952
445	1.0	2.0	445	1.5165820285714287	0.9555555552380952
446	1.0	1.43349049	446	1.5165820285714287	0.9555555552380952
447	1.0	1.64664066	447	1.4896053852380955	0.9555555552380952
448	0.13333333	1.0	448	1.5076662333333333	0.9523809519047619
449	1.0	1.64664066	449	1.5244928685714285	0.9523809519047619
450	1.0	2.0	450	1.570728610952381	0.9523809519047619
451	1.0	2.0	451	1.571926861904762	0.9555555552380952
452	1.0	1.64664066	452	1.5887534971428574	0.9555555552380952
